Run	Barcode	Sample_ID	Dataset	Notes
ONT_mockstaph1_adapdet1	barcode08	MCS4G_adap1	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_adapdet2	barcode08	MCS4G_adap2	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_cont1	barcode08	MCS4G_cont1	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaph1_cont2	barcode08	MCS4G_cont2	ONT_mock_clinicstaph_staphadapdet	
ONT_mockstaphepiecoli1_adapdet1	barcode01	MTE1F_adap	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_adapdet1	barcode01	MTE1F_adap1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_adapdet2	barcode01	MTE1F_adap2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli1_cont1	barcode01	MTE1F_cont	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_cont1	barcode01	MTE1F_cont1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_cont2	barcode01	MTE1F_cont2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockstaphepiecoli1_adapdet1	barcode02	MTE2F_adap	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_adapdet1	barcode02	MTE2F_adap1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_adapdet2	barcode02	MTE2F_adap2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli1_cont1	barcode02	MTE2F_cont	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_cont1	barcode02	MTE2F_cont1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_cont2	barcode02	MTE2F_cont2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockstaphepiecoli1_adapdet1	barcode03	MTE3F_adap	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_adapdet1	barcode03	MTE3F_adap1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_adapdet2	barcode03	MTE3F_adap2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli1_cont1	barcode03	MTE3F_cont	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_cont1	barcode03	MTE3F_cont1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_cont2	barcode03	MTE3F_cont2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockstaphepiecoli1_adapdet1	barcode04	MTE4F_adap	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_adapdet1	barcode04	MTE4F_adap1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_adapdet2	barcode04	MTE4F_adap2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli1_cont1	barcode04	MTE4F_cont	ONT_mock_typeecoli_staphadapdet	
ONT_mockecoli2_cont1	barcode04	MTE4F_cont1	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockecoli2_cont2	barcode04	MTE4F_cont2	ONT_mock_typeecoli_ecoliadapdet 	
ONT_mockstaph1_adapdet1	barcode01	MTS1G_adap1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_adapdet2	barcode01	MTS1G_adap2	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont1	barcode01	MTS1G_cont1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont2	barcode01	MTS1G_cont2	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_adapdet1	barcode02	MTS2G_adap1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_adapdet2	barcode02	MTS2G_adap2	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont1	barcode02	MTS2G_cont1	ONT_mock_typestaph_staphadapdet	
ONT_mockstaph1_cont2	barcode02	MTS2G_cont2	ONT_mock_typestaph_staphadapdet	
ONT_mockskinpw1_alladapdet1	barcode03	MTS3G_adap1	ONT_mock_typestaph_alladapdet 	
ONT_mockstaph1_adapdet1	barcode03	MTS3G_adap4	ONT_mock_typestaph_staphadapdet	
